index,name,isin,url,keyword,sheet
14,7IM Balanced Fund (Class C),GB0033959296,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/7/7im-balanced-fund-class-c-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
34,abrdn AAA Bond (I),GB0006573439,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-aaa-bond-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
54,abrdn Emerging Markets Income Equity (I),GB00B82VD295,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-emerging-markets-income-equity-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
74,abrdn Global Equity (I),GB00B83WC467,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-global-equity-i-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
94,abrdn Japanese Equity (I),GB0004521737,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-japanese-equity-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
114,abrdn MyFolio Index III (B),GB00BHZCQT09,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-myfolio-index-iii-b-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
134,abrdn Short Duration Glbl Inflation-Linked Bd (I),GB00BP25R510,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-short-duration-glbl-inflation-linked-bd-i-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
154,abrdn SICAV II Globa Income Bond (B Hedged),LU1438964634,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-sicav-ii-globa-income-bond-b-hedged-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
174,abrdn UK Income Equity (K),GB00BRK2VS91,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/abrdn-uk-income-equity-k-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
194,Aegon Ethical Corporate Bond (Class B),GB00B018K352,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aegon-ethical-corporate-bond-class-b-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
214,Aegon Strategic Bond (Class B),GB00B00MY367,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aegon-strategic-bond-class-b-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
234,Allianz Emerging Markets Equity (Class C),GB00B0WDH832,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/allianz-emerging-markets-equity-class-c-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
254,Allspring Emerging Markets Equity Advantage (Z),LU0851224872,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/allspring-emerging-markets-equity-advantage-z-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
274,AQR Emerging Equity Extension,LU1978639190,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aqr-emerging-equity-extension-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
294,Artemis High Income (Class I Quarterly),GB00BJMD6R83,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-high-income-class-i-quarterly-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
314,Artemis Strategic Bond (Class I Monthly),GB00BJT0KV40,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/artemis-strategic-bond-class-i-monthly-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
334,Ashmore Emerging Market Debt (Z),LU0861576162,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/ashmore-emerging-market-debt-z-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
354,Aviva Global Equity Income (Class 2),GB00B9LCNW07,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aviva-global-equity-income-class-2-income/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
374,Aviva Multi-Asset Plus IV (Class 2),GB00B72W9168,"https://www.hl.co.uk/funds/fund-discounts,-prices--and--factsheets/search-results/a/aviva-multi-asset-plus-iv-class-2-accumulation/key-features","You can buy or sell holdings in this fund through a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",MF
